place_fragment,zone
Uttarahalli,Bommanahalli
 Subramanyapura,Bommanahalli
Vasanthpura,Bommanahalli
Yelachenahalli,Bommanahalli
Konanakunte,Bommanahalli
RBI layout,Bommanahalli
Chunchaghatta,Bommanahalli
Anjanapura,Bommanahalli
Gottigere,Bommanahalli
Kalena Agrahara,Bommanahalli
Begur,Bommanahalli
Naganathapura,Bommanahalli
Ibluru,Bommanahalli
Agara,Bommanahalli
 Mangammanapalya,Bommanahalli
HSR-Singasandra,Bommanahalli
Rupenaagrahara,Bommanahalli
Hongasandra,Bommanahalli
Bommanahalli,Bommanahalli
 Devarachikkanahalli,Bommanahalli
Bilekhalli,Bommanahalli
Arakere,Bommanahalli
Hulimavu,Bommanahalli
Vinayakanagar,Bommanahalli
Puttenahalli- Sarakki Lake,Bommanahalli
Jaraganahalli,Bommanahalli
Kudlu,Bommanahalli
 Kammagondanahalli,Dasarahalli
Shettihalli,Dasarahalli
Bagalakunte,Dasarahalli
Defence Colony,Dasarahalli
Mallasandra,Dasarahalli
T Dasarahalli,Dasarahalli
Chokkasandra,Dasarahalli
 Nelagadderanahalli,Dasarahalli
Rajagopal Nagar,Dasarahalli
Rajeshwari Nagar,Dasarahalli
Hegganahalli,Dasarahalli
Sunkadakatte,Dasarahalli
Radhakrishna Temple Ward,Bengaluru East
Sanjaya Nagar,Bengaluru East
Vishwanath Nagenahalli,Bengaluru East
Manorayanapalya,Bengaluru East
Hebbala,Bengaluru East
Chamundi Nagara,Bengaluru East
Ganga Nagar,Bengaluru East
 Jayachamarajendra Nagar,Bengaluru East
Kaval Bairasandra,Bengaluru East
Kushal Nagar,Bengaluru East
Muneshwara Nagar,Bengaluru East
Devara Jeevanahalli,Bengaluru East
S K Garden,Bengaluru East
Sagayarapuram,Bengaluru East
Pulikeshinagar,Bengaluru East
Hennur,Bengaluru East
Nagavara,Bengaluru East
 Kadugondanahalli,Bengaluru East
Venkateshpura,Bengaluru East
Kacharkanahalli,Bengaluru East
HRBR Layout,Bengaluru East
Banasavadi,Bengaluru East
Kammanahalli,Bengaluru East
Lingarajapura,Bengaluru East
Maruthi Seva Nagar,Bengaluru East
C V Raman Nagar,Bengaluru East
Lal Bahadur Nagar,Bengaluru East
New Bayappanahalli,Bengaluru East
Hoysala Nagar,Bengaluru East
Old Thippasandra,Bengaluru East
New Thippasandra,Bengaluru East
 Jalakanteshwara Nagara,Bengaluru East
